run,returncode,sync_producer_time_ms,sync_end_to_end_time_ms,sync_attempted,sync_logged,sync_dropped,sync_dropped_denominator,sync_dropped_pct,sync_producer_lines_sec,sync_end_to_end_lines_sec,sync_checksum,async_producer_time_ms,async_end_to_end_time_ms,async_attempted,async_logged,async_dropped,async_dropped_denominator,async_dropped_pct,async_producer_lines_sec,async_end_to_end_lines_sec,async_checksum,sync_valid_sum,sync_valid_expected,async_valid_sum,async_valid_expected,spd_producer_time_ms,spd_end_to_end_time_ms,spd_attempted,spd_logged,spd_dropped,spd_dropped_denominator,spd_dropped_pct,spd_producer_lines_sec,spd_end_to_end_lines_sec,spd_checksum,spd_valid_sum,spd_valid_expected
41,0,932.89,932.89,400000,400000,0,400000,0.0,428774.0,428774.0,0x9c203f5b85d1ed12,72.92,73.15,400000,374755,25245,400000,6.3,5485590.0,5468277.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,262.15,262.61,400000,104643,295357,400000,73.8,1525847.0,1523157.0,0x9c203f5b85d1ed12,400000,400000
42,0,969.26,969.26,400000,400000,0,400000,0.0,412684.0,412684.0,0x9c203f5b85d1ed12,72.37,72.55,400000,399479,521,400000,0.1,5526965.0,5513756.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,257.58,258.01,400000,99491,300509,400000,75.1,1552937.0,1550350.0,0x9c203f5b85d1ed12,400000,400000
43,0,958.85,958.85,400000,400000,0,400000,0.0,417165.0,417165.0,0x9c203f5b85d1ed12,71.98,72.22,400000,358105,41895,400000,10.5,5557203.0,5538374.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,255.46,255.83,400000,101733,298267,400000,74.6,1565830.0,1563518.0,0x9c203f5b85d1ed12,400000,400000
44,0,973.07,973.07,400000,400000,0,400000,0.0,411071.0,411071.0,0x9c203f5b85d1ed12,72.16,72.35,400000,393075,6925,400000,1.7,5542931.0,5528845.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,261.97,262.38,400000,98132,301868,400000,75.5,1526878.0,1524502.0,0x9c203f5b85d1ed12,400000,400000
45,0,1006.26,1006.26,400000,400000,0,400000,0.0,397510.0,397510.0,0x9c203f5b85d1ed12,82.74,82.92,400000,400000,0,400000,0.0,4834355.0,4823999.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,273.67,274.51,400000,96802,303198,400000,75.8,1461607.0,1457143.0,0x9c203f5b85d1ed12,400000,400000
46,0,990.8,990.8,400000,400000,0,400000,0.0,403714.0,403714.0,0x9c203f5b85d1ed12,75.32,75.53,400000,400000,0,400000,0.0,5310958.0,5295775.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,260.95,261.57,400000,99036,300964,400000,75.2,1532876.0,1529227.0,0x9c203f5b85d1ed12,400000,400000
47,0,935.62,935.62,400000,400000,0,400000,0.0,427523.0,427523.0,0x9c203f5b85d1ed12,73.62,73.92,400000,397499,2501,400000,0.6,5432980.0,5410942.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,266.57,266.97,400000,111439,288561,400000,72.1,1500558.0,1498290.0,0x9c203f5b85d1ed12,400000,400000
48,0,1001.34,1001.34,400000,400000,0,400000,0.0,399465.0,399465.0,0x9c203f5b85d1ed12,70.69,70.86,400000,347471,52529,400000,13.1,5658360.0,5644929.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,258.59,259.03,400000,93857,306143,400000,76.5,1546842.0,1544244.0,0x9c203f5b85d1ed12,400000,400000
49,0,950.64,950.64,400000,400000,0,400000,0.0,420770.0,420770.0,0x9c203f5b85d1ed12,71.83,71.97,400000,388684,11316,400000,2.8,5568575.0,5557791.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,258.42,258.82,400000,97077,302923,400000,75.7,1547880.0,1545503.0,0x9c203f5b85d1ed12,400000,400000
50,0,984.72,984.72,400000,400000,0,400000,0.0,406208.0,406208.0,0x9c203f5b85d1ed12,74.33,74.51,400000,400000,0,400000,0.0,5381218.0,5368137.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,256.07,256.49,400000,104262,295738,400000,73.9,1562064.0,1559494.0,0x9c203f5b85d1ed12,400000,400000
51,0,946.74,946.74,400000,400000,0,400000,0.0,422502.0,422502.0,0x9c203f5b85d1ed12,71.83,72.12,400000,385561,14439,400000,3.6,5568461.0,5546358.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,258.3,258.68,400000,105023,294977,400000,73.7,1548577.0,1546287.0,0x9c203f5b85d1ed12,400000,400000
52,0,946.79,946.79,400000,400000,0,400000,0.0,422478.0,422478.0,0x9c203f5b85d1ed12,72.95,73.22,400000,400000,0,400000,0.0,5483275.0,5463205.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,253.64,255.25,400000,103563,296437,400000,74.1,1577011.0,1567073.0,0x9c203f5b85d1ed12,400000,400000
53,0,945.01,945.01,400000,400000,0,400000,0.0,423277.0,423277.0,0x9c203f5b85d1ed12,78.17,78.34,400000,372777,27223,400000,6.8,5117068.0,5106063.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,278.58,278.96,400000,108280,291720,400000,72.9,1435842.0,1433872.0,0x9c203f5b85d1ed12,400000,400000
54,0,927.02,927.02,400000,400000,0,400000,0.0,431490.0,431490.0,0x9c203f5b85d1ed12,74.92,75.13,400000,400000,0,400000,0.0,5339188.0,5324434.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,257.48,257.86,400000,111265,288735,400000,72.2,1553538.0,1551257.0,0x9c203f5b85d1ed12,400000,400000
55,0,956.67,956.67,400000,400000,0,400000,0.0,418115.0,418115.0,0x9c203f5b85d1ed12,73.57,73.71,400000,391954,8046,400000,2.0,5437202.0,5426411.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,249.63,250.12,400000,106181,293819,400000,73.5,1602387.0,1599244.0,0x9c203f5b85d1ed12,400000,400000
56,0,982.15,982.15,400000,400000,0,400000,0.0,407268.0,407268.0,0x9c203f5b85d1ed12,71.55,71.83,400000,387088,12912,400000,3.2,5590183.0,5568507.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,270.4,271.69,400000,92174,307826,400000,77.0,1479284.0,1472287.0,0x9c203f5b85d1ed12,400000,400000
57,0,948.3,948.3,400000,400000,0,400000,0.0,421806.0,421806.0,0x9c203f5b85d1ed12,72.42,72.64,400000,382383,17617,400000,4.4,5523577.0,5506431.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,252.64,253.79,400000,97834,302166,400000,75.5,1583260.0,1576094.0,0x9c203f5b85d1ed12,400000,400000
58,0,937.19,937.19,400000,400000,0,400000,0.0,426808.0,426808.0,0x9c203f5b85d1ed12,71.96,72.17,400000,396395,3605,400000,0.9,5558749.0,5542705.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,257.57,257.95,400000,99601,300399,400000,75.1,1552957.0,1550681.0,0x9c203f5b85d1ed12,400000,400000
59,0,957.88,957.88,400000,400000,0,400000,0.0,417590.0,417590.0,0x9c203f5b85d1ed12,73.21,73.44,400000,396819,3181,400000,0.8,5463814.0,5446538.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,264.37,264.83,400000,90343,309657,400000,77.4,1513041.0,1510392.0,0x9c203f5b85d1ed12,400000,400000
60,0,940.34,940.34,400000,400000,0,400000,0.0,425379.0,425379.0,0x9c203f5b85d1ed12,73.63,73.72,400000,400000,0,400000,0.0,5432818.0,5426132.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,265.22,265.71,400000,103070,296930,400000,74.2,1508164.0,1505422.0,0x9c203f5b85d1ed12,400000,400000
61,0,962.2,962.2,400000,400000,0,400000,0.0,415712.0,415712.0,0x9c203f5b85d1ed12,72.12,72.32,400000,400000,0,400000,0.0,5546209.0,5531018.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,254.0,255.48,400000,97078,302922,400000,75.7,1574826.0,1565698.0,0x9c203f5b85d1ed12,400000,400000
62,0,960.26,960.26,400000,400000,0,400000,0.0,416555.0,416555.0,0x9c203f5b85d1ed12,79.17,79.41,400000,371441,28559,400000,7.1,5052377.0,5037020.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,255.45,256.18,400000,101047,298953,400000,74.7,1565867.0,1561397.0,0x9c203f5b85d1ed12,400000,400000
63,0,969.97,969.97,400000,400000,0,400000,0.0,412383.0,412383.0,0x9c203f5b85d1ed12,74.82,74.91,400000,399611,389,400000,0.1,5346475.0,5339476.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,282.88,283.84,400000,104526,295474,400000,73.9,1414045.0,1409269.0,0x9c203f5b85d1ed12,400000,400000
64,0,1003.46,1003.46,400000,400000,0,400000,0.0,398621.0,398621.0,0x9c203f5b85d1ed12,71.99,72.27,400000,400000,0,400000,0.0,5556657.0,5534683.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,258.46,258.84,400000,103085,296915,400000,74.2,1547612.0,1545342.0,0x9c203f5b85d1ed12,400000,400000
65,0,944.04,944.04,400000,400000,0,400000,0.0,423709.0,423709.0,0x9c203f5b85d1ed12,76.46,76.7,400000,391076,8924,400000,2.2,5231641.0,5215362.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,250.1,250.48,400000,100665,299335,400000,74.8,1599360.0,1596943.0,0x9c203f5b85d1ed12,400000,400000
66,0,935.88,935.88,400000,400000,0,400000,0.0,427406.0,427406.0,0x9c203f5b85d1ed12,74.26,74.43,400000,397273,2727,400000,0.7,5386743.0,5373922.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,255.49,255.86,400000,108609,291391,400000,72.8,1565592.0,1563352.0,0x9c203f5b85d1ed12,400000,400000
67,0,973.32,973.32,400000,400000,0,400000,0.0,410965.0,410965.0,0x9c203f5b85d1ed12,72.85,72.95,400000,397982,2018,400000,0.5,5490936.0,5483546.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,248.35,250.0,400000,102462,297538,400000,74.4,1610610.0,1599987.0,0x9c203f5b85d1ed12,400000,400000
68,0,979.45,979.45,400000,400000,0,400000,0.0,408394.0,408394.0,0x9c203f5b85d1ed12,71.96,72.17,400000,383735,16265,400000,4.1,5558669.0,5542459.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,256.05,256.43,400000,103770,296230,400000,74.1,1562176.0,1559857.0,0x9c203f5b85d1ed12,400000,400000
69,0,930.24,930.24,400000,400000,0,400000,0.0,429995.0,429995.0,0x9c203f5b85d1ed12,72.14,72.4,400000,400000,0,400000,0.0,5544619.0,5524783.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,258.44,258.83,400000,102308,297692,400000,74.4,1547748.0,1545435.0,0x9c203f5b85d1ed12,400000,400000
