run,returncode,sync_producer_time_ms,sync_end_to_end_time_ms,sync_attempted,sync_logged,sync_dropped,sync_dropped_denominator,sync_dropped_pct,sync_producer_lines_sec,sync_end_to_end_lines_sec,sync_checksum,async_producer_time_ms,async_end_to_end_time_ms,async_attempted,async_logged,async_dropped,async_dropped_denominator,async_dropped_pct,async_producer_lines_sec,async_end_to_end_lines_sec,async_checksum,sync_valid_sum,sync_valid_expected,async_valid_sum,async_valid_expected,spd_producer_time_ms,spd_end_to_end_time_ms,spd_attempted,spd_logged,spd_dropped,spd_dropped_denominator,spd_dropped_pct,spd_producer_lines_sec,spd_end_to_end_lines_sec,spd_checksum,spd_valid_sum,spd_valid_expected
86,0,997.46,997.46,400000,400000,0,400000,0.0,401017.0,401017.0,0x9c203f5b85d1ed12,73.09,73.27,400000,396885,3115,400000,0.8,5472971.0,5459390.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,254.69,255.77,400000,106749,293251,400000,73.3,1570520.0,1563928.0,0x9c203f5b85d1ed12,400000,400000
87,0,936.82,936.82,400000,400000,0,400000,0.0,426978.0,426978.0,0x9c203f5b85d1ed12,72.16,72.39,400000,400000,0,400000,0.0,5543149.0,5525751.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,253.1,254.7,400000,97088,302912,400000,75.7,1580377.0,1570472.0,0x9c203f5b85d1ed12,400000,400000
88,0,974.5,974.5,400000,400000,0,400000,0.0,410469.0,410469.0,0x9c203f5b85d1ed12,72.64,72.8,400000,400000,0,400000,0.0,5506324.0,5494440.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,250.18,250.75,400000,91052,308948,400000,77.2,1598823.0,1595186.0,0x9c203f5b85d1ed12,400000,400000
89,0,1008.88,1008.88,400000,400000,0,400000,0.0,396479.0,396479.0,0x9c203f5b85d1ed12,71.55,71.63,400000,400000,0,400000,0.0,5590762.0,5584171.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,276.57,276.93,400000,105283,294717,400000,73.7,1446309.0,1444410.0,0x9c203f5b85d1ed12,400000,400000
90,0,942.83,942.83,400000,400000,0,400000,0.0,424253.0,424253.0,0x9c203f5b85d1ed12,73.27,73.6,400000,400000,0,400000,0.0,5459331.0,5434496.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,260.58,261.67,400000,103973,296027,400000,74.0,1535015.0,1528651.0,0x9c203f5b85d1ed12,400000,400000
91,0,968.63,968.63,400000,400000,0,400000,0.0,412954.0,412954.0,0x9c203f5b85d1ed12,71.12,71.37,400000,364889,35111,400000,8.8,5623995.0,5604758.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,268.39,304.23,400000,100101,299899,400000,75.0,1490380.0,1314812.0,0x9c203f5b85d1ed12,400000,400000
92,0,961.08,961.08,400000,400000,0,400000,0.0,416200.0,416200.0,0x9c203f5b85d1ed12,70.87,71.12,400000,375487,24513,400000,6.1,5644257.0,5624618.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,256.56,258.28,400000,103987,296013,400000,74.0,1559068.0,1548691.0,0x9c203f5b85d1ed12,400000,400000
93,0,953.43,953.43,400000,400000,0,400000,0.0,419537.0,419537.0,0x9c203f5b85d1ed12,74.75,74.95,400000,400000,0,400000,0.0,5351391.0,5336928.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,257.11,258.11,400000,103745,296255,400000,74.1,1555775.0,1549729.0,0x9c203f5b85d1ed12,400000,400000
94,0,929.33,929.33,400000,400000,0,400000,0.0,430417.0,430417.0,0x9c203f5b85d1ed12,73.96,74.17,400000,400000,0,400000,0.0,5408358.0,5392929.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,251.8,252.22,400000,87405,312595,400000,78.1,1588593.0,1585935.0,0x9c203f5b85d1ed12,400000,400000
95,0,936.74,936.74,400000,400000,0,400000,0.0,427012.0,427012.0,0x9c203f5b85d1ed12,73.68,73.98,400000,398560,1440,400000,0.4,5428934.0,5406707.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,256.78,257.14,400000,105842,294158,400000,73.5,1557778.0,1555586.0,0x9c203f5b85d1ed12,400000,400000
96,0,942.64,942.64,400000,400000,0,400000,0.0,424342.0,424342.0,0x9c203f5b85d1ed12,70.47,70.73,400000,372660,27340,400000,6.8,5676464.0,5655264.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,262.51,262.88,400000,103668,296332,400000,74.1,1523780.0,1521586.0,0x9c203f5b85d1ed12,400000,400000
97,0,938.3,938.3,400000,400000,0,400000,0.0,426302.0,426302.0,0x9c203f5b85d1ed12,71.58,71.87,400000,400000,0,400000,0.0,5588036.0,5565923.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,259.09,259.54,400000,100417,299583,400000,74.9,1543872.0,1541177.0,0x9c203f5b85d1ed12,400000,400000
98,0,947.97,947.97,400000,400000,0,400000,0.0,421955.0,421955.0,0x9c203f5b85d1ed12,73.59,73.79,400000,399948,52,400000,0.0,5435187.0,5420757.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,250.79,252.36,400000,99284,300716,400000,75.2,1594973.0,1585039.0,0x9c203f5b85d1ed12,400000,400000
99,0,935.39,935.39,400000,400000,0,400000,0.0,427630.0,427630.0,0x9c203f5b85d1ed12,72.44,72.74,400000,400000,0,400000,0.0,5521832.0,5499178.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,258.74,259.31,400000,101365,298635,400000,74.7,1545928.0,1542536.0,0x9c203f5b85d1ed12,400000,400000
100,0,933.69,933.69,400000,400000,0,400000,0.0,428406.0,428406.0,0x9c203f5b85d1ed12,74.01,74.35,400000,400000,0,400000,0.0,5404379.0,5379885.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,285.32,286.0,400000,110746,289254,400000,72.3,1401953.0,1398579.0,0x9c203f5b85d1ed12,400000,400000
